0,0,0,0,0,0,0,0,4,0,8,0,1,0,0,36
0,0,0,1,0,1,0,0,2,0,2,0,1,0,0,11
0,0,2,2,2,11,0,0,2,0,6,0,0,0,0,12
0,0,2,5,0,28,0,2,5,0,26,0,8,0,0,74
0,0,0,0,0,9,0,4,0,0,4,0,0,0,0,11
0,0,2,0,0,24,0,1,1,0,13,0,0,0,0,45
0,1,5,5,3,2,0,0,6,0,6,0,1,1,0,36
0,1,7,4,6,20,0,0,6,0,57,0,4,1,0,81
0,1,3,2,1,12,0,0,6,0,23,0,1,0,0,40
0,0,1,0,1,15,0,0,5,0,34,1,6,0,3,52
0,1,6,4,0,7,0,0,0,0,9,0,0,0,0,12
0,0,1,0,2,2,0,0,2,0,5,0,0,0,0,9
0,0,1,0,2,1,0,0,1,0,17,1,2,0,0,29
0,0,1,0,4,4,0,0,2,0,48,0,3,0,0,33
0,0,0,0,2,8,0,0,2,0,6,0,2,0,0,17
0,0,3,1,0,3,0,2,5,0,7,0,0,0,0,31
0,0,0,1,1,3,0,0,0,0,11,0,2,0,0,32
0,0,0,5,0,9,0,0,1,0,7,0,2,0,0,39
0,0,0,0,1,4,0,0,0,0,3,0,0,0,0,9
0,0,6,6,0,0,0,0,0,0,0,0,9,0,1,64
0,0,5,5,0,0,0,0,0,0,0,0,10,1,0,40
0,0,2,0,0,6,0,0,3,0,29,2,0,0,0,18
0,0,0,8,0,0,0,0,0,0,0,0,11,0,0,77
0,0,0,4,1,2,0,4,3,0,1,0,8,0,0,37
0,0,1,1,2,1,0,0,1,0,5,0,5,0,0,34
0,0,1,5,0,0,0,0,0,0,0,0,6,0,0,17
0,0,0,4,0,0,0,1,1,0,0,0,1,0,0,35
0,0,1,0,0,8,0,0,2,0,19,0,3,0,0,44
0,0,2,0,3,13,0,0,2,0,9,3,0,0,0,19
0,0,1,1,1,12,0,0,5,0,37,1,0,0,0,89
0,0,1,3,0,6,0,0,0,0,9,0,3,1,0,144
0,0,1,0,0,1,0,2,1,0,6,0,1,0,0,26
0,0,2,4,0,0,0,1,0,0,0,1,1,0,0,48
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,10
0,0,3,0,2,3,0,0,2,0,1,0,0,2,0,26
0,0,3,0,0,4,0,0,2,0,9,1,0,1,0,52
0,0,0,0,0,8,0,0,2,0,3,0,1,0,0,28
0,0,0,0,5,3,0,0,4,0,1,5,1,0,0,15
0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,5
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21
0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,23
0,0,1,0,0,1,0,0,0,0,15,0,0,0,0,13
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,19
